name,hexa,r,g,b
Desert Sand,#EDC9AF,237,201,175
Peach,#FFCBA4,255,203,164
Burnt Umber,#805533,128,85,51
Apricot,#FDD5B1,253,213,177
Almond,#EED9C4,238,217,196
Raw Umber,#665233,102,82,51
Shadow,#837050,131,112,80
Raw Sienna (I),#E6BC5C,230,188,92
Gold (I),#92926E,146,146,110
Gold (II),#E6BE8A,230,190,138
Silver,#C9C0BB,201,192,187
Copper,#DA8A67,218,138,103
Antique Brass,#C88A65,200,138,101
Black,#000000,0,0,0
Charcoal Gray,#736A62,115,106,98
Gray,#8B8680,139,134,128
Blue-Gray,#C8C8CD,200,200,205
Timberwolf,#D9D6CF,217,214,207
White,#FFFFFF,255,255,255
Crayellow,#F1D651,241,214,81
Cool Mint,#DDEBEC,221,235,236
Oatmeal,#D9DAD2,217,218,210
Powder Blue,#C0D5F0,192,213,240
